direction_family,definition,questions,benchmark_percentage,represented_images,questions_per_image_minimum,questions_per_image_median,questions_per_image_mean,questions_per_image_maximum,original_correct,original_total,original_accuracy,original_errors,full_correct,full_total,full_accuracy,full_errors,full_minus_original_accuracy_percentage_points,error_count_reduction_full_vs_original,both_correct,original_only_correct,full_only_correct,both_incorrect,cluster_bootstrap_performed,cluster_bootstrap_95_ci_low,cluster_bootstrap_95_ci_high
horizontal,"left, right, or multi-label combinations containing only left/right",908,82.54545454545455,298,1,2.0,3.046979865771812,18,887,908,0.9768722466960352,21,897,908,0.987885462555066,11,1.1013215859030812,10,883,4,14,7,True,-0.0010953202763205928,0.02536997885835095
vertical_forward,straight or down scalar references or combinations confined to those labels,84,7.636363636363637,40,1,2.0,2.1,4,76,84,0.9047619047619048,8,80,84,0.9523809523809523,4,4.761904761904756,4,72,4,8,0,True,-0.07317073170731707,0.18181818181818182
diagonal,"straight-left, straight-right, down-left, or down-right scalar references or combinations confined to diagonal labels",35,3.1818181818181817,21,1,1,1.6666666666666667,3,34,35,0.9714285714285714,1,34,35,0.9714285714285714,1,0.0,0,33,1,1,0,True,-0.08571428571428572,0.08571428571428572
locational,locational references,61,5.545454545454546,54,1,1.0,1.1296296296296295,3,60,61,0.9836065573770492,1,60,61,0.9836065573770492,1,0.0,0,60,0,0,1,True,0.0,0.0
unknown_uncertain,unknown or uncertain references,0,0.0,0,,,,,0,0,,0,0,0,,0,,0,0,0,0,0,False,,
mixed_multi_direction,multi-label references whose labels span more than one family,4,0.36363636363636365,4,1,1.0,1.0,1,4,4,1.0,0,4,4,1.0,0,0.0,0,4,0,0,0,False,,
u_turn_other,u-turn; retained separately rather than forced into vertical/forward,8,0.7272727272727273,5,1,2,1.6,2,4,8,0.5,4,8,8,1.0,0,50.0,4,4,0,4,0,False,,
